id,class,family,family_cname,cname,name,fullname,is_endemic,iucn_category,source
380217,鳥綱,Scolopacidae,鷸科,西濱鷸,Calidris mauri,"Calidris mauri Cabanis, 1857 ",0,NA,原生
404558,鳥綱,Scolopacidae,鷸科,美洲尖尾濱鷸,Calidris melanotos,"Calidris melanotos Vieillot, 1819 ",0,NA,原生
380218,鳥綱,Scolopacidae,鷸科,小濱鷸,Calidris minuta,"Calidris minuta Leisler, 1812 ",0,NA,原生
428562,鳥綱,Scolopacidae,鷸科,流蘇鷸,Calidris pugnax,"Calidris pugnax Linnaeus, 1758 ",0,NA,原生
435225,鳥綱,Scolopacidae,鷸科,琵嘴鷸,Calidris pygmaea,"Calidris pygmaea Linnaeus, 1758 ",0,CR,原生
380219,鳥綱,Scolopacidae,鷸科,紅胸濱鷸,Calidris ruficollis,"Calidris ruficollis Pallas, 1776 ",0,VU,原生
380220,鳥綱,Scolopacidae,鷸科,長趾濱鷸,Calidris subminuta,"Calidris subminuta von Middendorff, 1853 ",0,LC,原生
428565,鳥綱,Scolopacidae,鷸科,黃胸鷸,Calidris subruficollis,"Calidris subruficollis Vieillot, 1819 ",0,NA,原生
380221,鳥綱,Scolopacidae,鷸科,丹氏濱鷸,Calidris temminckii,"Calidris temminckii Leisler, 1812 ",0,VU,原生
380222,鳥綱,Scolopacidae,鷸科,大濱鷸,Calidris tenuirostris,"Calidris tenuirostris Horsfield, 1821 ",0,EN,原生
425338,鳥綱,Muscicapidae,鶲科,野鴝(指名亞種),Calliope calliope calliope,"Calliope calliope calliope Pallas, 1776 ",0,LC,原生
425210,鳥綱,Muscicapidae,鶲科,野鴝(勘察加亞種),Calliope calliope camtschatkensis,"Calliope calliope camtschatkensis Gemlin, 1789 ",0,LC,原生
380200,鳥綱,Procellariidae,鸌科,大水薙鳥,Calonectris leucomelas,"Calonectris leucomelas Temminck, 1836 ",0,NT,原生
432197,鳥綱,Caprimulgidae,夜鷹科,南亞夜鷹(大陸亞種),Caprimulgus affinis amoyensis,"Caprimulgus affinis amoyensis Baker, ECS, 1931 ",0,NA,原生
380495,鳥綱,Caprimulgidae,夜鷹科,南亞夜鷹(臺灣亞種),Caprimulgus affinis stictomus,"Caprimulgus affinis stictomus Horsfield, 1821 ",1,LC,原生
430650,鳥綱,Caprimulgidae,夜鷹科,普通夜鷹,Caprimulgus jotaka jotaka,"Caprimulgus jotaka jotaka Latham, 1790 ",0,NA,原生
404559,鳥綱,Fringillidae,雀科,普通朱雀,Carpodacus erythrinus grebnitskii,"Carpodacus erythrinus grebnitskii Stejneger, 1885 ",0,NA,原生
425192,鳥綱,Fringillidae,雀科,臺灣朱雀,Carpodacus formosanus,"Carpodacus formosanus Ogilvie-Grant, 1911 ",1,LC,原生
428604,鳥綱,Fringillidae,雀科,北朱雀,Carpodacus roseus roseus,"Carpodacus roseus roseus Pallas, 1776 ",0,NA,原生
435239,鳥綱,Fringillidae,雀科,酒紅朱雀,Carpodacus vinaceus vinaceus,"Carpodacus vinaceus vinaceus Verreaux, 1871 ",0,NA,原生
404560,鳥綱,Hirundinidae,燕科,金腰燕,Cecropis daurica japonica,"Cecropis daurica japonica Temminck & Schlegel, 1845 ",0,NA,原生
404561,鳥綱,Hirundinidae,燕科,赤腰燕,Cecropis striolata striolata,"Cecropis striolata striolata Schlegel, 1844 ",0,NA,原生
380278,鳥綱,Cuculidae,杜鵑科,番鵑,Centropus bengalensis lignator,"Centropus bengalensis lignator Swinhoe, 1861 ",0,NA,原生
432250,鳥綱,Cuculidae,杜鵑科,褐翅鴉鵑,Centropus sinensis sinensis,"Centropus sinensis sinensis Stephens, 1815 ",0,NA,原生
432253,鳥綱,Alcedinidae,翠鳥科,斑翡翠,Ceryle rudis insignis,"Ceryle rudis insignis Hartert, E, 1910 ",0,NA,原生
432254,鳥綱,Alcedinidae,翠鳥科,黑背三趾翠鳥,Ceyx erithaca erithaca,"Ceyx erithaca erithaca Linnaeus, 1758 ",0,NA,原生
435207,鳥綱,Alcedinidae,翠鳥科,赤背三趾翠鳥,Ceyx rufidorsa motleyi,"Ceyx rufidorsa motleyi Chasen & Kloss, 1929 ",0,NA,原生
380261,鳥綱,Columbidae,鳩鴿科,翠翼鳩,Chalcophaps indica indica,"Chalcophaps indica indica Linnaeus, 1758 ",0,NA,原生
432228,鳥綱,Charadriidae,鴴科,東方環頸鴴(指名亞種),Charadrius alexandrinus alexandrinus,"Charadrius alexandrinus alexandrinus Linnaeus, 1758 ",0,LC,原生
435242,鳥綱,Charadriidae,鴴科,東方環頸鴴(日本亞種),Charadrius alexandrinus nihonensis,"Charadrius alexandrinus nihonensis Swinhoe, 1870 ",0,NA,原生
420005,鳥綱,Charadriidae,鴴科,白臉鴴,Charadrius dealbatus,"Charadrius dealbatus Swinhoe, 1870 ",0,NA,原生
380139,鳥綱,Charadriidae,鴴科,小環頸鴴,Charadrius dubius curonicus,"Charadrius dubius curonicus Gmelin, JF, 1789 ",0,NA,原生
380140,鳥綱,Charadriidae,鴴科,環頸鴴,Charadrius hiaticula tundrae,"Charadrius hiaticula tundrae Lowe, PR, 1915 ",0,NA,原生
380141,鳥綱,Charadriidae,鴴科,鐵嘴鴴,Charadrius leschenaultii leschenaultii,"Charadrius leschenaultii leschenaultii Lesson, 1826 ",0,NA,原生
380142,鳥綱,Charadriidae,鴴科,蒙古鴴(指名亞種),Charadrius mongolus mongolus,"Charadrius mongolus mongolus Pallas, 1776 ",0,LC,原生
420280,鳥綱,Charadriidae,鴴科,蒙古鴴(堪察加亞種),Charadrius mongolus stegmanni,"Charadrius mongolus stegmanni Portenko, 1939 ",0,LC,原生
380143,鳥綱,Charadriidae,鴴科,劍鴴,Charadrius placidus,"Charadrius placidus Gray & Gray, 1863 ",0,NA,原生
380144,鳥綱,Charadriidae,鴴科,東方紅胸鴴,Charadrius veredus,"Charadrius veredus Gould, 1848 ",0,NA,原生
404564,鳥綱,Laridae,鷗科,黑腹燕鷗,Chlidonias hybrida hybrida,"Chlidonias hybrida hybrida Pallas, 1811 ",0,NA,原生
380167,鳥綱,Laridae,鷗科,白翅黑燕鷗,Chlidonias leucopterus,"Chlidonias leucopterus Temminck, 1815 ",0,LC,原生
380168,鳥綱,Laridae,鷗科,黑浮鷗,Chlidonias niger niger,"Chlidonias niger niger Linnaeus, 1758 ",0,NA,原生
425191,鳥綱,Fringillidae,雀科,金翅雀(日本亞種),Chloris sinica kawarahiba,"Chloris sinica kawarahiba Temminck, 1836 ",0,LC,原生
